date,channel,schedule_item,GRPs,reach,frequency
2025-05-28,Radio,Fish contain.,99.43,64.32,6.81
2025-06-10,Online,Reason simply offer because.,24.52,55.78,1.39
2025-07-02,Online,She fly stand.,165.18,21.28,7.49
2025-05-22,Online,Choice kitchen agree.,198.62,26.09,6.25
2025-05-08,Radio,Yard cover interview strategy.,35.55,74.65,
2025-04-27,Radio,Meet believe feel idea.,156.9,83.37,9.69
2025-06-30,TV,Concern writer join kind.,152.08,76.87,5.88
2025-05-21,Radio,Simple treat next.,118.72,42.51,5.15
2025-07-01,Radio,Product old response.,109.98,6.72,3.87
2025-04-17,TV,Provide little state second data.,22.47,18.75,6.79
2025-04-27,TV,Once sometimes reason room.,78.96,45.54,5.01
2025-05-30,Online,Never east member.,111.19,31.15,5.59
2025-05-02,Print,Bed near analysis game.,184.16,41.64,6.7
2025-04-24,Print,Together reach close network respond.,32.55,51.29,3.13
2025-05-26,U5j1ZAUO,Hotel mouth test.,160.95,35.66,8.36
2025-04-26,Online,Any its how.,152.51,1.9,6.65
2025-06-09,Online,Bill push consider travel.,54.52,40.54,2.45
2025-06-05,Print,Tax body where in.,163.17,92.37,8.99
2025-06-09,TV,Able group want return business.,74.98,7.85,4.79
2025-07-11,Radio,Fish fight certainly provide.,146.7,62.0,2.17
2025-06-16,Radio,Source even movie job ever.,,25.61,6.79
2025-05-19,Print,Require significant foreign.,181.81,85.88,5.69
2025-04-28,Online,Reason election relationship.,53.44,10.94,2.35
2025-05-18,TV,Red attention try hand center.,182.97,74.98,8.61
2025-06-10,Online,Themselves can minute moment provide.,138.39,16.38,3.46
2025-04-30,Print,Today similar we agency.,177.34,74.27,8.06
2025-05-02,Print,Support each.,122.11,93.16,8.4
,Radio,Team word coach.,116.93,47.11,4.94
2025-07-12,Radio,,76.61,13.25,4.93
2025-06-17,Print,Guy response student.,146.06,43.79,4.56
2025-05-23,TV,Concern card mission international create.,165.82,99.92,9.73
2025-07-03,Print,Happy throughout.,15.72,54.45,7.88
2025-06-22,Online,Bank form drop direction heart.,100.87,92.06,9.07
2025-05-14,Print,Security degree pretty door.,55.89,13.89,1.2
2025-06-15,TV,Specific no.,28.05,17.55,8.45
2025-07-05,Radio,Also media modern coach letter.,80.04,22.86,7.94
2025-05-22,Radio,Character explain.,23.61,47.48,3.73
2025-05-27,Radio,Impact cause again perform.,78.24,,1.16
2025-07-11,Print,Become form time.,86.79,92.29,9.31
2025-06-13,Radio,Kitchen single.,65.47,18.13,4.4
2025-05-27,Online,Sell deal together.,45.2,95.26,3.29
2025-07-13,Radio,Student physical thought example member.,35.57,8.23,9.12
2025-07-01,Radio,Each card cup.,49.37,60.89,8.99
2025-05-17,Radio,Recent reflect item.,98.04,73.76,7.56
2025-06-20,Radio,We game treat physical drive.,65.0,15.59,1.61
2025-05-12,TV,Hospital turn sport better note.,135.0,75.66,4.06
2025-04-26,Print,Investment party color participant.,109.53,77.6,9.83
2025-06-17,Radio,,118.92,70.57,PNaGZ4Oa
2025-04-18,TV,Call military.,11.49,98.4,1.36
2025-07-10,Online,Continue unit free benefit.,128.76,52.25,2.08
2025-05-25,Radio,Class media.,41.23,23.56,3.36
FTq4G6vZ,Radio,Guess finish.,127.88,63.65,8.17
2025-05-22,Print,Way eat benefit serve bag.,57.08,54.86,4.93
2025-05-21,Print,Lot new radio science.,111.71,30.9,3.58
2025-05-05,TV,Think inside without fly.,,40.18,9.12
2025-05-27,Radio,Wall around.,34.92,94.98,6.45
2025-06-18,TV,Character involve.,87.96,43.08,5.89
2025-04-22,TV,Care son walk.,179.58,32.29,3.24
2025-04-15,Print,Seat they.,197.36,60.9,2.71
2025-06-02,Online,Fund book movie.,69.8,49.2,4.42
2025-06-22,TV,East card drive.,139.55,86.48,6.98
2025-06-12,Online,Easy human defense strategy attack.,105.03,91.53,5.95
2025-06-10,TV,Middle forward stage.,23.89,89.57,3.42
2025-05-05,TV,Box experience.,188.58,50.79,7.45
2025-04-16,Print,Drug area admit.,124.39,75.03,4.02
2025-05-27,Online,Base this three.,124.59,43.29,8.65
2025-04-19,Online,Treatment offer camera.,118.4,1.32,4.23
2025-06-23,Online,Better amount table red.,196.54,55.75,7.72
2025-07-13,Print,Goal include.,176.69,67.32,2.75
2025-05-24,TV,Rather reduce.,17.42,56.34,1.32
2025-05-10,Print,Heavy own cover focus.,163.09,66.94,4.72
2025-04-16,Print,Item explain discuss time spend.,81.85,21.76,3.9
2025-05-12,Radio,Build always wait over.,129.98,60.54,9.81
2025-05-12,TV,Any each stand.,33.39,50.63,1.99
2025-05-02,TV,Interest happen smile.,106.71,70.55,2.8
2025-06-13,TV,Because build develop.,52.97,0.67,6.96
2025-06-06,Print,Message you score.,126.06,2.0,9.33
2025-04-15,TV,Unit half professional community.,100.48,68.93,6.75
2025-04-22,Radio,Walk heart instead instead capital.,14.45,88.96,9.5
2025-07-03,Online,Type day community activity.,141.5,46.41,4.8
2025-05-11,Online,Other type trip for.,85.89,25.34,8.84
2025-07-07,Print,Society box perhaps either particularly.,50.45,47.98,8.57
2025-06-29,TV,Table economic measure.,80.94,14.3,1.16
2025-05-07,Print,Long course.,181.56,98.61,6.6
2025-06-14,Print,Yourself lawyer without later.,116.39,71.38,2.43
2025-05-18,Online,Tonight sport young.,113.83,57.34,4.78
2025-05-24,XqS3jlhE,Despite participant.,34.98,26.08,2.1
2025-05-20,Online,Stuff realize.,48.97,73.6,4.18
2025-07-07,Online,Action win opportunity power attention.,194.3,55.12,1.93
2025-07-05,Radio,Those before them.,71.56,9.21,1.98
2025-04-30,T2F0RcmF,Many church piece doctor.,101.38,29.77,1.67
2025-05-20,Online,Season follow blood world those.,44.89,65.68,2.45
2025-04-24,Radio,Affect show foot star always.,121.84,79.7,8.3
2025-06-05,TV,Hope seat card society.,16.26,21.0,9.08
2025-07-08,Online,Town before next.,70.24,95.44,9.8
